date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2011-04-29,17.88,19.0,18.2,17.7,2430236.25,0.34,1.9,17.706,16.924,16.375,2273684.7,1980093.31,1514485.34
2011-04-22,18.67,18.88,17.86,17.73,2219913.5,-0.87,-4.64,17.318,16.702,16.282,2019614.98,1877527.01,1444423.03
2011-04-15,17.18,18.77,18.73,16.89,3393896.0,1.56,9.09,16.912,16.466,16.217,1795024.78,1708451.52,1383289.36
2011-04-08,16.6,17.37,17.17,16.6,1662172.38,0.6,3.62,16.376,16.137,16.115,1452594.7,1398256.16,1294655.59
2011-04-01,16.37,16.75,16.57,16.01,1662205.38,0.31,1.91,16.278,15.94,16.107,1673041.37,1315440.86,1316157.68
2011-03-25,15.8,16.34,16.26,15.65,1159887.62,0.43,2.72,16.142,15.798,16.138,1686501.92,1259942.36,1386010.86
2011-03-18,16.0,16.19,15.83,15.68,1096962.5,-0.22,-1.37,16.086,15.771,16.272,1735439.05,1268846.78,1490981.68
2011-03-11,16.78,16.97,16.05,16.03,1681745.62,-0.63,-3.78,16.02,15.829,16.401,1621878.27,1316482.21,1537575.87
2011-03-04,15.81,16.77,16.68,15.63,2764405.75,0.79,4.97,15.898,15.803,16.524,1343917.61,1271329.14,1627876.1
2011-02-25,15.8,16.17,15.89,15.4,1729508.12,-0.09,-0.56,15.602,15.779,16.648,957840.34,1102510.79,1707169.52
2011-02-18,15.49,16.17,15.98,15.48,1404573.25,0.48,3.1,15.454,15.825,16.714,833382.79,1048877.37,1647529.9
2011-02-11,15.35,15.59,15.5,15.2,529158.62,0.06,0.39,15.456,15.861,16.726,802254.51,1011319.06,1609717.94
2011-02-01,15.2,15.49,15.44,15.09,291942.31,0.24,1.58,15.638,15.968,16.782,1011086.14,1058127.2,1599843.97
2011-01-28,15.15,15.4,15.2,14.95,834019.38,0.05,0.33,15.708,16.093,16.842,1198740.68,1191055.03,1663638.25
